,Titres,Prix Broché,Prix Kindle,Prix Poche,Prix Relié,Nombre de pages Format Broché,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
48,"Agenda Minceur 90 Jours: Journal Alimentaire et d’activité Sportive à Compléter | Cahier de Suivi Régime (Mensurations, IMC, Poids, Repas, Sport, Notes..) | Planificateur, Carnet Quotidien pour Femme","5,98",None,None,None,100,None,None,15.24 x 0.58 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Agenda-Minceur-Jours-Mensurations-Planificateur/dp/B092HJZ713/ref=sr_1_66?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-66
49,Plats light et bons pour la santé,"4,99",None,None,None,192,None,None,14.5 x 1.7 x 19.1 cm,None,None,"4,0",67,https://www.amazon.fr//Plats-light-bons-pour-sant%C3%A9/dp/2263154094/ref=sr_1_67?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-67
50,LA PENSÉE POSITIVE: Comment atteindre vos objectifs et mener une vie positive à travers le pouvoir de la pensée,"8,99","4,99",None,None,80,None,None,12.7 x 0.51 x 20.32 cm,None,None,"4,1",1881,https://www.amazon.fr//PENS%C3%89E-POSITIVE-atteindre-objectifs-positive/dp/B085RTHNJW/ref=sr_1_68?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-68
51,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,None,None,None,"19,95",None,None,416,None,None,20.6 x 4.4 x 26.8 cm,"4,7",3294,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_67?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-67
52,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","7,95","3,95",None,None,143,None,None,12.7 x 0.84 x 20.32 cm,None,None,"3,7",394,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-efficacement-programme-connaisseurs/dp/B087SN2SSW/ref=sr_1_69?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-69
53,Recettes Minceur avec Thermomix,"9,39","4,90",None,None,90,None,None,15.24 x 0.53 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-Minceur-Thermomix-Catherine-Desnoy/dp/B08YQVB1N9/ref=sr_1_70?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-70
54,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"9,89","4,90",None,None,103,None,None,15.24 x 0.61 x 22.86 cm,None,None,"5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_72?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-72
55,Les recettes healthy de Margot,"19,90","10,99",None,None,189,None,None,22 x 1.7 x 17.1 cm,None,None,"4,4",98,https://www.amazon.fr//recettes-healthy-Margot-MARGOT-biendansmonslip/dp/B07NMNC86R/ref=sr_1_73?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-73
56,Recettes équilibrées sans se ruiner avec Cookeo,"9,95",None,None,None,168,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",297,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_74?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-74
57,Recettes à l'extracteur de jus: 140 recettes pour faire le plein de vitamines,None,None,None,"9,95",None,None,208,None,None,13.6 x 1.9 x 19.7 cm,"4,4",713,https://www.amazon.fr//Recettes-lextracteur-jus-recettes-vitamines/dp/2035934184/ref=sr_1_75?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-75
58,"Régime keto: Découvrez la céto cuisine avec un plan de repas de 28 jours + 121 recettes cétogènes novatrices, délicieuses et inratables pour régime cétogène et régime Low-Carb. Recettes keto faciles","9,90","2,99",None,None,185,None,None,20.32 x 1.07 x 25.4 cm,None,None,"3,5",745,https://www.amazon.fr//R%C3%A9gime-keto-novatrices-d%C3%A9licieuses-inratables/dp/179301874X/ref=sr_1_77?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-77
59,150 recettes light au robot-cuiseur,"7,95","5,99",None,None,192,None,None,17.1 x 2 x 17.2 cm,None,None,"4,3",161,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_78?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-78
60,"Mon Carnet de recettes: Livre de recettes à écrire | Carnet personnalisé pour 50 recettes de cuisine à remplir | 2 pages par recette |Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","6,99",None,None,None,104,None,None,21.59 x 0.61 x 27.94 cm,None,None,"4,8",23,https://www.amazon.fr//Mon-Carnet-recettes-personnalis%C3%A9-cuisine/dp/B08992BD7F/ref=sr_1_80?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-80
61,Régime Cétogène: Challenge 14 jours,"6,99","2,99",None,None,79,None,None,12.7 x 0.46 x 20.32 cm,None,None,"3,8",124,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Challenge-14-jours/dp/1975651332/ref=sr_1_83?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-83
62,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","9,40",None,None,None,105,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_84?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-84
63,Agenda Minceur 90 jours: Journal alimentaire et carnet de suivi sportif | Cahier minceur à compléter chaque jour pour le suivi de votre régime ou de votre rééquilibrage alimentaire,"8,99",None,None,None,118,None,None,15.24 x 0.69 x 22.86 cm,None,None,"4,2",5,https://www.amazon.fr//Agenda-Minceur-jours-alimentaire-r%C3%A9%C3%A9quilibrage/dp/B08RYCLQN1/ref=sr_1_85?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-85
64,Mangez sain mangez bien avec Cookeo,"9,95","7,99",None,None,168,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",346,https://www.amazon.fr//Mangez-sain-mangez-bien-Cookeo/dp/2035955173/ref=sr_1_83?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-83
65,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","6,99",None,None,None,106,None,None,17.78 x 0.69 x 25.4 cm,None,None,None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_84?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-84
