,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
162,"LAISSE-TOI GUIDER: LTG, mon programme de rééquilibrage alimentaire","['Broché 23,00']",204,None,None,None,20.32 x 1.17 x 25.4 cm,None,None,"4,4",655,https://www.amazon.fr//LAISSE-TOI-GUIDER-programme-r%C3%A9%C3%A9quilibrage-alimentaire/dp/1088841120/ref=sr_1_143?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-143
163,Dash minceur,"['Broché 18,00']",300,None,None,None,20.9 x 1.8 x 15 cm,None,None,"3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_144?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-144
164,"Les recette de mamie: Livre de recettes à compléter: Carnet pour 102 recettes | Format A4, 209 pages | 2 pages par recette. Ce Livre de Cuisine Vierge ... Écrire et Transmettre vos Astuces de Famille.","['Broché 6,99']",209,None,None,None,21.01 x 1.22 x 29.69 cm,None,None,None,None,https://www.amazon.fr//recette-mamie-recettes-compl%C3%A9ter-Transmettre/dp/B08YQR699Z/ref=sr_1_145?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-145
165,52 semaines de minceur,"['Broché 15,36']",2221081870,None,None,None,21.6 x 15.8 x 1.6 cm,None,None,"3,7",32,https://www.amazon.fr//52-semaines-minceur-Weight-Watchers/dp/2221081870/ref=sr_1_146?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-146
166,L'esprit léger Mes recettes du bonheur !,"['Relié 10,00']",None,None,None,160,None,None,19.8 x 1.8 x 26.4 cm,"3,8",40,https://www.amazon.fr//Lesprit-l%C3%A9ger-Mes-recettes-bonheur/dp/2732482013/ref=sr_1_147?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-147
167,"Mon cahier bowl cake: Répertoire de vos recettes + 100 fiches illustrées et faciles à remplir pour la préparation de vos Bow Cakes  - gourmandise healthy - taille A4 = 21 x 29,7 cm","['Broché 7,85']",105,None,None,None,21.01 x 0.69 x 29.69 cm,None,None,"5,0",1,https://www.amazon.fr//Mon-cahier-bowl-cake-pr%C3%A9paration/dp/B0863QDBNY/ref=sr_1_148?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-148
168,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg9_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_149_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672782%26s%3Dbooks%26sr%3D1-149-spons%26psc%3D1&qualifier=1618672782&id=7955541358443908&widgetName=sp_btf
169,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg9_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_150_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672782%26s%3Dbooks%26sr%3D1-150-spons%26psc%3D1&qualifier=1618672782&id=7955541358443908&widgetName=sp_btf
170,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg10_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_145_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-145-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_atf_next
171,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg10_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_146_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-146-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_atf_next
